partNo,barcode,sku,productTitle,pWidth,pHeight,pDepth,icWidth,icHeight,icDepth,icWeight,icQty,ocWidth,ocHeight,ocDepth,ocWeight,ocQty
IH35-W,5.06057E+12,70100,Aluminium Panel Heater W (350W),595,595,38,670,660,50,4.78,1,700,710,250,25.92,5
IH50-W,5.06057E+12,70101,Aluminium Panel Heater W (500W),795,595,38,670,860,50,6.5,1,705,870,265,35.33,5
IH80-W,5.06057E+12,70102,Aluminium Panel Heater W (800W),1195,595,38,670,1267,50,10,1,710,1305,270,54,5
IH12-W,5.06057E+12,70103,Aluminium Panel Heater W (1200W),1200,800,38,870,1253,55,12.84,1,870,1253,55,13,1
IH60-W,5.06057E+12,70104,Aluminium Panel Heater W (600W),2000,250,38,385,2030,50,7.77,1,680,2065,105,16.54,2
IH35-WB,5.06057E+12,70115,Aluminium Panel Heater B (350W),595,595,38,670,660,50,4.78,1,700,710,250,25.92,5
IH50-WB,5.06057E+12,70116,Aluminium Panel Heater B (500W),795,595,38,670,860,50,6.5,1,705,870,265,35.33,5
IH60-WB,5.06057E+12,70119,Aluminium Panel Heater B (600W),2000,250,38,385,2030,50,7.77,1,680,2065,105,16.54,2
IH80-WB,5.06057E+12,70117,Aluminium Panel Heater B (800W),1195,595,38,670,1267,50,10,1,710,1305,270,54,5
IH12-WB,5.06057E+12,70118,Aluminium Panel Heater B (1200W),1200,800,38,870,1253,55,12.84,1,870,1253,55,13,1
IH35-WP,5.06057E+12,70105,Aluminium Panel Heater P (350W),595,595,38,670,660,50,4.78,1,705,705,250,25.92,5
IH50-WP,5.06057E+12,70106,Aluminium Panel Heater P (500W),795,595,38,670,860,50,6.5,1,705,870,265,35.33,5
IH80-WP,5.06057E+12,70107,Aluminium Panel Heater P (800W),1195,595,38,670,1260,50,7.77,1,710,1305,270,16.54,5
IH35-WLT,5.06057E+12,70108,Aluminium Panel Heater LST-W (350W),595,595,38,670,660,50,4.78,1,705,705,250,25.92,5
IH50-WLT,5.06057E+12,70109,Aluminium Panel Heater LST-W (500W),795,595,38,670,860,50,6.5,1,705,870,265,35.33,5
IH80-WLT,5.06057E+12,70110,Aluminium Panel Heater LST-W (800W),1195,595,38,670,1260,50,10,1,710,1305,270,54,5
IH35-WAP,5.06057E+12,70111,Aluminium Panel Heater AM-W (350W),595,595,38,670,660,50,4.78,1,705,705,250,25.92,5
IH50-WAP,5.06057E+12,70112,Aluminium Panel Heater AM-W (500W),795,595,38,670,860,50,6.5,1,705,870,265,35.33,5
IH80-WAP,5.06057E+12,70113,Aluminium Panel Heater AM-W (800W),1195,595,38,670,1260,50,10,1,710,1305,270,54,5
IH70-PL,5.06057E+12,70114,Aluminium Plinth Panel W 70W,500,150,15,165,560,48,1.3,1,542,580,200,21,15
IH35-M,5.06057E+12,70300,Mirror Heater (350W),700,600,32,670,770,50,8.92,1,810,720,27,47,5
